Word with borrowing2	Full COGID
529	275
529	275
529	275
529	275
529	275
529	275
529	275
529	275
267 529	276
267 529	276
529	275
529	275
529	275
529	275
529	275
529	275
529	275
529	275
78 251	277
78 251	277
78 251	277
78 251	277
78 251	277
78 251	277
78 251	277
78 251	277
78 252	278
78 251	277
78 251	277
78 251	277
78 251	277
78 251	277
78 251	277
78  252	279
78 252	278
78 251	277
78 251	277
78 252	278
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
178	280
32	281
32	281
32	281
32	281
32	281
32	281
32	281
32	281
219	282
219	282
219	282
32	281
32	281
219	282
219	282
32	281
219	282
220	283
220	283
220	283
78	284
78	284
78	284
78	284
78	284
247	285
78	284
248	286
78	284
78	284
78	284
78	284
78	284
78	284
247 249	287
78	284
78	284
78	284
78	284
78	284
78	284
78 249	288
242 243	289
242 243	289
242 243	289
242 243	289
242 243	289
242 243	289
242 244	290
242 243	289
242 243	289
242 243	289
242 245	291
242 243	289
242 243	289
242 243	289
242	292
242 243	289
242 243	289
242 243	289
242 245	291
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342	293
342 343	294
342 343	294
342 343	294
342 343	294
342 343	294
342 343	294
342	293
342 343	294
342 343	294
342 343	294
342 343	294
342 343	294
344 342	295
342 343	294
342 343	294
342 343	294
342 343	294
342 343	294
342 343	294
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
506	296
470 50	297
470 50	297
470 478	298
470	299
470 50	297
470 50	297
470 50	297
470	299
470	299
470 435 254 479	300
470 480	301
472 481	302
473 481	303
473 50	304
474 482	305
470 483 50 56	306
307 482	307
470	299
470 435 254 479	300
168 244	308
475 50	309
477 484	310
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
112	216
557	311
557	311
512	312
512	312
512	312
512	312
512	312
512	312
509	313
512	312
717	314
512	312
594	315
512	312
512	312
718	316
512	312
512	312
617	253
719	317
720	318
721	319
722	320
563	321
563	321
563	321
563	321
563	321
563	321
563 563	322
563	321
563	321
563	321
563	321
563	321
563	321
563	321
563	321
563	321
563	321
563	321
563 563	322
563	321
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
57	323
58	324
57	323
57	323
57	323
57	323
430 431	325
430 431	325
432	326
432 38	327
430 431	325
430 431	325
430 186	328
430 433	329
434 54	330
432 435	331
430 433	329
436 437	332
438 439	333
440 250	334
430 431	325
167 118	335
441 435	336
430 433	329
442 443	337
110 167	338
444 433	339
445 433	340
445 446	341
430 433	329
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
568 137	343
112 567	342
112 567	342
112 567	342
112 567	342
112 567	342
557 567	344
454 36	345
79	346
455 456	347
457 458 	348
459	196
455 456	347
461	349
455 456	347
461	349
461	349
31 32 462	350
463 36	351
37 464	352
465 142 36	353
463	354
455 456	347
37 466	355
463 36	351
463 36	351
79	346
455 456	347
467	356
463 36	351
79	346
463 44	357
79	346
79	346
79	346
468 469	358
79	346
455 456	347
455 456 59	359
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
303	360
82	361
82	361
82	361
82	361
82	361
82	361
82	361
82	361
82	361
82	361
82	361
82	361
83 82	362
85	363
82	361
82	361
82	361
82	361
82	361
82	361
86	364
110 111	365
110 111	365
110 111	365
110 111	365
110 111	365
110 111	365
112 113 114	366
110 111	365
110 111	365
115 116	367
117 118	368
110 111	365
119 118	369
110 111	365
110 111	365
120 117	370
115 121	371
110 111	365
110 111	365
117 122	372
117 111	373
110 111	365
754 118	374
407	375
407	375
407	375
407	375
407	375
407	375
407	375
407	375
407	375
408	376
407	375
347	377
407	375
407	375
407	375
407	375
407	375
407	375
245	378
409	379
132	106
132	106
132	106
132	106
132	106
132	106
132	106
133	102
132	106
132	106
132	106
132	106
132	106
132	106
132	106
132	106
132	106
132	106
134	380
134	380
320	240
320 321	381
322 85 323	382
320 323	383
324 85 321	384
320	240
320 321	381
320	240
 320 321	385
320	240
320 321 93	386
324 326 321	387
320	240
266 320 	388
266 328 	389
266 329 	390
320	240
320 321	381
320  93	391
 320 93	392
320  93	391
320 321	381
320	240
320	240
320	240
268 331 	393
268  332	394
485 486	395
485 486	395
485 486	395
485 486	395
485 486	395
485 486	395
487	396
488 246	397
485 486	395
488 246	397
488 246	397
488 246	397
485 486	395
488 246	397
488 246	397
488 246	397
485 246	398
488 246	397
485 486	395
489 490	399
491 488	400
492 489	401
485 493	402
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
662	403
340	404
340	404
341	405
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
340	404
369	406
369	406
369	406
369	406
369	406
369	406
369	406
  369 369	407
369	406
369	406
369	406
369	406
369	406
369	406
369	406
369	406
369	406
369	406
370	408
370 370	409
370	408
524 386	410
524 386	410
524 386 	411
524 386	410
524 386	410
524 389	412
524 386	410
524 178	413
524 178 386	414
524 386	410
524 386	410
524 389	412
525 389	415
524 386	410
524 386	410
524 178 386	414
524 386	410
524 386 	411
524 386	410
524 386	410
47 386	416
21 526	417
264	418
264	418
264	418
264	418
264	418
264	418
264	418
264	418
264	418
265	419
266 266	420
264	418
264	418
